SampleID;Line;Spot;SpotID;Genus;Locality;skeletPart;tissueType;mmThickness;thickClass;mmDist;maxDist;profilePerc
PR003;L2;2;PR-3_Ap21;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;0.426140749;2.611133517;16.320143961447222
PR003;L2;3;PR-3_Ap22;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;0.656012657;2.611133517;25.123673405782416
PR003;L2;5;PR-3_Ap24;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;1.090387857;2.611133517;41.75917661433014
PR003;L2;6;PR-3_Ap25;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;1.362011071;2.611133517;52.161678525150656
PR003;L2;7;PR-3_Ap26;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;1.522477556;2.611133517;58.30715074843107
PR003;L2;8;PR-3_Ap27;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;1.671786707;2.611133517;64.02532448515923
PR003;L2;9;PR-3_Ap28;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;1.833014161;2.611133517;70.1999399519791
PR003;L2;10;PR-3_Ap29;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;1.995933171;2.611133517;76.43933785864692
PR003;L2;11;PR-3_Ap30;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;2.122224451;2.611133517;81.27598367464103
PR003;L2;12;PR-3_Ap31;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;2.244302555;2.611133517;85.95127519861713
PR003;L2;13;PR-3_Ap32;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;2.365478034;2.611133517;90.59199840220198
PR003;L2;14;PR-3_Ap33;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;2.555537728;2.611133517;97.87081784067958
PR003;L2;15;PR-3_Ap34;Protoceratops;Bayan Dzak;humerus;Cortex;2.951804613829164;short;2.611133517;2.611133517;100.0
PR006;L1;1;D-II_408_Ap1;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;0.065414512;2.297660112;2.8470055974928283
PR006;L1;2;D-II_408_Ap2;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;0.310785549;2.297660112;13.526175929018347
PR006;L1;3;D-II_408_Ap3;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;0.56127284;2.297660112;24.4280186207106
PR006;L1;4;D-II_408_Ap4;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;0.805772158;2.297660112;35.069249528757105
PR006;L1;5;D-II_408_Ap5;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;1.057337691;2.297660112;46.01802004908549
PR006;L1;6;D-II_408_Ap6;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;1.303454374;2.297660112;56.72964278713126
PR006;L1;7;D-II_408_Ap7;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;1.553218831;2.297660112;67.60002590844472
PR006;L1;8;D-II_408_Ap8;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;1.801159401;2.297660112;78.39102883812434
PR006;L1;9;D-II_408_Ap9;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;2.050052139;2.297660112;89.22347253595879
PR006;L1;10;D-II_408_Ap10;Protoceratops;Bayan Dzak;tibia;Cortex;2.6529084386810253;short;2.297660112;2.297660112;100.0
SF001;L1;1;S-1F_Ap1;Saurolophus;Nemegt;radius;Cortex;5.841986954187584;short;0.100207278;6.59405113;1.5196618288884876
SF001;L1;2;S-1F_Ap2;Saurolophus;Nemegt;radius;Cortex;5.841986954187584;short;0.339619813;6.59405113;5.1503970215651025
